sample_name,expected_critical,tier,tier_name,total_time_seconds,masking_ratio,k_lower
"RAT-76 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,8.397347,0.0,0.0
"RAT-40 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,8.267502,0.0,0.0
"RAT-44 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,8.246294,0.0,0.0
"RAT-91 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,8.157968,0.0,0.0
"RAT-18 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,8.134427,0.0,0.0
"RAT-4 (difficulty=3, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,7.986322,0.0,0.0
"RAT-68 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,7.832757,0.0,0.0
"RAT-46 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,7.70079,0.0,0.0
"RAT-79 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,7.65599,0.0,0.0
"RAT-41 (difficulty=3, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,7.649897,0.0,0.0
"RAT-49 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,7.576989,0.0,0.0
"RAT-4 (difficulty=2, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,7.575656,0.0,0.0
"RAT-3 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,7.444088,0.0,0.0
"RAT-57 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,7.400917,0.0,0.0
"RAT-8 (difficulty=2, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,7.324401,0.0,0.0
"RAT-51 (difficulty=1, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,7.295895,0.0,0.0
"RAT-96 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,7.244893,0.0,0.0
"RAT-14 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,7.186737,0.0,0.0
"RAT-60 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,7.177401,0.0,0.0
"RAT-35 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,7.163906,0.0,0.0
"RAT-6 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,7.082169,0.0,0.0
"RAT-10 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,7.060312,0.0,0.0
"RAT-85 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,7.026162,0.0,0.0
"RAT-53 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.961551,0.0,0.0
"RAT-69 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,6.96036,0.0,0.0
"RAT-72 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,6.957048,0.0,0.0
"RAT-17 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.944952,0.0,0.0
"RAT-37 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,6.939714,0.0,0.0
"RAT-35 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,6.921364,0.0,0.0
"RAT-47 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.907897,0.0,0.0
"RAT-83 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.887507,0.0,0.0
"RAT-16 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,6.870945,0.0,0.0
"RAT-26 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,6.870389,0.0,0.0
"RAT-23 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,6.848956,0.0,0.0
"RAT-32 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.839141,0.0,0.0
"RAT-33 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,6.802541,0.0,0.0
"RAT-74 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,6.793012,0.0,0.0
"RAT-7 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.782188,0.0,0.0
"RAT-13 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.774984,0.0,0.0
"RAT-34 (difficulty=2, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,6.773526,0.0,0.0
"RAT-71 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,6.764655,0.0,0.0
"RAT-80 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,6.728554,0.0,0.0
"RAT-95 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,6.666436,0.0,0.0
"RAT-43 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,6.633642,0.0,0.0
"RAT-17 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,6.607573,0.0,0.0
"RAT-92 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,6.508244,0.001012,0.0
"RAT-48 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.478724,0.0,0.0
"RAT-6 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,6.472445,0.0,0.0
"RAT-9 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,6.404106,0.0,0.0
"RAT-29 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,6.346382,0.0,0.0
"RAT-93 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,6.3383,0.0,0.0
"RAT-43 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,6.307179,0.0,0.0
"RAT-30 (difficulty=1, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,6.298793,0.0,0.0
"RAT-96 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,6.223926,0.0,0.0
"RAT-93 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,6.204574,0.0,0.0
"RAT-84 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,6.147842,0.0,0.0
"RAT-57 (difficulty=1, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,6.109643,0.0,0.0
"RAT-52 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,6.011447,0.0,0.0
"RAT-70 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,5.966494,0.0,0.0
"RAT-86 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.944773,0.0,0.0
"RAT-28 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.858478,0.0,0.0
"RAT-90 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.824207,0.0,0.0
"RAT-2 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.813656,0.0,0.0
"RAT-11 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.787642,0.0,0.0
"RAT-58 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.785425,0.0,0.0
"RAT-55 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.77091,0.0,0.0
"RAT-19 (difficulty=3, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,5.74364,0.0,0.0
"RAT-39 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.733702,0.0,0.0
"RAT-99 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.713328,0.0,0.0
"RAT-61 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.656633,0.0,0.0
"RAT-10 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.572626,0.0,0.0
"RAT-54 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.560657,0.0,0.0
"RAT-79 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,5.550634,0.0,0.0
"RAT-40 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,5.550329,0.0,0.0
"RAT-97 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.540672,0.0,0.0
"RAT-87 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.523536,0.0,0.0
"RAT-11 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,5.494972,0.0,0.0
"RAT-78 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,5.439908,0.000555,0.0
"RAT-64 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.423137,0.0,0.0
"RAT-56 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.422042,0.0,0.0
"RAT-90 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,5.421108,0.0,0.0
"RAT-72 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,5.420374,0.0,0.0
"RAT-80 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.386915,0.0,0.0
"RAT-22 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.38226,0.0,0.0
"RAT-8 (difficulty=3, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,5.379389,0.0,0.0
"RAT-94 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.355449,0.0,0.0
"RAT-30 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.353853,0.0,0.0
"RAT-9 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.348468,0.0,0.0
"RAT-81 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.347668,0.0,0.0
"RAT-95 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.345992,0.0,0.0
"RAT-24 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.32954,0.0,0.0
"RAT-83 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,5.319013,0.000504,0.0
"RAT-42 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.313013,0.0,0.0
"RAT-8 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,5.264112,0.0,0.0
"RAT-15 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.245249,0.0,0.0
"RAT-47 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,5.237956,0.0,0.0
"RAT-36 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,5.19392,0.000524,0.0
"RAT-79 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,5.154749,0.0,0.0
"RAT-65 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.145835,0.0,0.0
"RAT-34 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.141045,0.0,0.0
"RAT-2 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,5.136455,0.000534,0.0
"RAT-89 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.125303,0.0,0.0
"RAT-12 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.122937,0.0,0.0
"RAT-57 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.121797,0.0,0.0
"RAT-60 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.115616,0.0,0.0
"RAT-12 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,5.097946,0.0,0.0
"RAT-77 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.085214,-0.001379,0.0
"RAT-76 (difficulty=1, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,5.085175,0.0,0.0
"RAT-51 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.084603,0.0,0.0
"RAT-4 (difficulty=1, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,5.078106,0.001092,0.0
"RAT-23 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,5.05847,0.0,0.0
"RAT-68 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,5.050496,0.0,0.0
"RAT-45 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,5.040751,0.0,0.0
"RAT-5 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.035895,0.0,0.0
"RAT-70 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,5.015697,0.0,0.0
"RAT-46 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,5.007165,0.0,0.0
"RAT-62 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,5.002988,0.0,0.0
"RAT-20 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,4.981411,0.0,0.0
"RAT-82 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,4.977926,0.0,0.0
"RAT-62 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,4.955371,0.0,0.0
"RAT-78 (difficulty=3, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,4.910998,0.0,0.0
"RAT-21 (difficulty=3, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,4.873358,0.0,0.0
"RAT-1 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,4.869195,0.0,0.0
"RAT-42 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,4.848733,-0.002736,0.0
"RAT-92 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,4.834751,0.0,0.0
"RAT-66 (difficulty=3, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,4.813924,0.0,0.0
"RAT-74 (difficulty=2, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,4.801154,0.0,0.0
"RAT-73 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,4.795112,0.0,0.0
"RAT-53 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,4.793791,0.0,0.0
"RAT-27 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,4.789361,0.0,0.0
"RAT-50 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,4.732164,0.0,0.0
"RAT-36 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,4.697963,0.0,0.0
"RAT-24 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,4.603861,0.0,0.0
"RAT-17 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,4.559463,0.0,0.0
"RAT-77 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,4.549332,0.0,0.0
"RAT-66 (difficulty=1, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,4.44485,0.0,0.0
"RAT-86 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,4.404308,0.0,0.0
"RAT-95 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,4.374409,-0.004434,0.0
"RAT-53 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,4.367591,0.0,0.0
"RAT-45 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,4.365777,0.0,0.0
"RAT-37 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,4.352637,0.0,0.0
"RAT-56 (difficulty=1, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,4.348673,0.0,0.0
"RAT-58 (difficulty=2, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,4.342725,0.0,0.0
"RAT-94 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,4.321013,0.0,0.0
"RAT-20 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,4.3183,0.0,0.0
"RAT-50 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,4.31639,0.0,0.0
"RAT-2 (difficulty=2, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,4.315235,0.0,0.0
"RAT-29 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,4.304196,0.0,0.0
"RAT-35 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,4.285944,0.0,0.0
"RAT-91 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,4.262612,0.0,0.0
"RAT-26 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,4.235367,0.0,0.0
"RAT-77 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,4.232829,0.0,0.0
"RAT-34 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,4.230742,0.0,0.0
"RAT-43 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,4.22233,0.0,0.0
"RAT-93 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,4.220706,0.0,0.0
"RAT-19 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,4.153193,0.0,0.0
"RAT-54 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,4.12531,0.0,0.0
"RAT-51 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,4.048976,0.0,0.0
"RAT-48 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,4.041859,0.0,0.0
"RAT-90 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,4.026354,0.0,0.0
"RAT-67 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,4.021523,0.002888,0.0
"RAT-22 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,4.013883,0.0,0.0
"RAT-82 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,4.006762,0.0,0.0
"RAT-49 (difficulty=1, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,4.002228,0.0,0.0
"RAT-25 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.995697,0.0,0.0
"RAT-62 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.956467,0.0,0.0
"RAT-71 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,3.952743,0.001628,0.0
"RAT-18 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.927132,0.0,0.0
"RAT-48 (difficulty=2, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,3.915711,0.0,0.0
"RAT-12 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.884738,0.0,0.0
"RAT-75 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.884681,0.0,0.0
"RAT-73 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.873168,0.0,0.0
"RAT-33 (difficulty=1, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,3.842112,0.001015,0.0
"RAT-21 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.838359,0.002653,0.0
"RAT-22 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.837691,0.0,0.0
"RAT-21 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.808522,0.0,0.0
"RAT-92 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.797648,0.0,0.0
"RAT-52 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.778467,0.0,0.0
"RAT-16 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.770442,0.0,0.0
"RAT-87 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.759401,0.0,0.0
"RAT-38 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.757349,0.0,0.0
"RAT-41 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.754066,0.0,0.0
"RAT-63 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.751397,0.000981,0.0
"RAT-13 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.744232,0.0,0.0
"RAT-99 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.721095,0.0,0.0
"RAT-42 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.718691,0.0,0.0
"RAT-84 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.707849,0.0,0.0
"RAT-68 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.703821,0.0,0.0
"RAT-88 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.701695,0.0,0.0
"RAT-78 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.699678,0.0,0.0
"RAT-66 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.696356,0.0,0.0
"RAT-26 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.692392,0.003118,0.0
"RAT-47 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.68593,0.001779,0.0
"RAT-14 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.680995,0.0,0.0
"RAT-23 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.672755,0.000425,0.0
"RAT-40 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.670381,0.0,0.0
"RAT-13 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.66907,0.0,0.0
"RAT-39 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.658112,0.0,0.0
"RAT-46 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.657506,0.001272,0.0
"RAT-14 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.651141,0.0,0.0
"RAT-74 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.648003,0.0,0.0
"RAT-89 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.643241,0.000297,0.0
"RAT-49 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.642731,0.0,0.0
"RAT-27 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.639066,0.0,0.0
"RAT-54 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.638985,0.0,0.0
"RAT-55 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.636163,0.0,0.0
"RAT-11 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.635653,0.001399,0.0
"RAT-98 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,3.63339,0.0,0.0
"RAT-39 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.62941,0.0,0.0
"RAT-52 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.626757,0.0,0.0
"RAT-80 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.625221,0.0,0.0
"RAT-65 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.624792,0.0,0.0
"RAT-28 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.617768,-0.002673,0.0
"RAT-5 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.617221,0.0,0.0
"RAT-87 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.613276,0.0,0.0
"RAT-81 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.607087,0.000333,0.0
"RAT-41 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,3.602236,0.0,0.0
"RAT-32 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.601703,0.0,0.0
"RAT-97 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.600279,0.0,0.0
"RAT-56 (difficulty=2, Chatbot conversation)",True,3,TIER_3_LOCAL,3.600114,0.0,0.0
"RAT-3 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.591466,0.0,0.0
"RAT-67 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.590537,0.0,0.0
"RAT-10 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.589211,0.0,0.0
"RAT-29 (difficulty=2, Medical consultation)",True,3,TIER_3_LOCAL,3.587508,0.0,0.0
"RAT-85 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.579257,0.0,0.0
"RAT-69 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.576936,0.0,0.0
"RAT-32 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.576732,0.0,0.0
"RAT-45 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.575528,0.0,0.0
"RAT-55 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.574755,0.001249,0.0
"RAT-96 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,3.573753,0.000519,0.0
"RAT-7 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.571429,0.0,0.0
"RAT-33 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.571427,0.0,0.0
"RAT-31 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.568198,0.000927,0.0
"RAT-19 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.566328,0.00087,0.0
"RAT-84 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.556381,0.0,0.0
"RAT-15 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.555001,0.0,0.0
"RAT-65 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,3.554794,0.0,0.0
"RAT-44 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.551383,0.003417,0.0
